translation.landing-page.cards.more,Изучить больше
translation.landing-page.chart-steps.title,Этапы создания диаграммы
translation.landing-page.chart-steps.select-datapack.title,Выберите датапак
translation.landing-page.chart-steps.select-datapack.description,Выберите из множества официальных датапаков с информацией о глобальных и региональных геологических событиях.
translation.landing-page.chart-steps.select-age-range.title,Выберите возрастной диапазон
translation.landing-page.chart-steps.select-age-range.description,Выберите необходимый возрастной диапазон для вашей диаграммы, чтобы сосредоточиться на определённых событиях и формациях.
translation.landing-page.chart-steps.select-columns.title,Выберите/измените колонки
translation.landing-page.chart-steps.select-columns.description,Выберите колонки для отображения на диаграмме и настройте их внешний вид и цвета.
translation.landing-page.chart-steps.generate.title,Сгенерируйте вашу диаграмму
translation.landing-page.chart-steps.generate.description,Сгенерируйте диаграмму на основе выбранного датапака и пользовательских настроек.
translation.languages,ЯЗЫКИ
translation.about,TimeScale Creator Online позволяет изучать и создавать диаграммы любых частей геологической временной шкалы на основе обширного набора глобальных и региональных событий в истории Земли. Внутренняя база данных включает более 20 000 биологических, геомагнитных, изменений уровня моря, стабильных изотопов и других событий.
translation.login.signin,Войти
translation.login.forgot-password,Забыли пароль?
translation.login.signup,Нет аккаунта? Зарегистрируйтесь
translation.login.username,Имя пользователя
translation.login.password,Пароль
translation.login.tooltip,Настройки аккаунта
translation.login.profile,Профиль
translation.login.add,Добавить аккаунт
translation.login.logout,Выйти
translation.login.admin,Админ
translation.login.profile-info,Информация профиля
translation.login.welcome,Добро пожаловать
translation.login.email,Эл. почта
translation.login.settings,Настройки
translation.login.dark-mode,Тёмная тема
translation.login.delete,Удалить профиль
translation.login.save,Сохранить
translation.login.cancel,Отмена
translation.login.change,Изменить
translation.login.current-password,Текущий пароль
translation.login.new-password,Новый пароль
translation.login.new-email,Новый адрес эл. почты
translation.login.new-username,Новое имя пользователя
translation.login.reset-password,Введите свой email, чтобы получить ссылку для сброса пароля.
translation.login.enter-new-password,Пожалуйста, введите новый пароль.
translation.login.recovery,Восстановление пароля
translation.login.send,Отправить
translation.signup.title,Регистрация
translation.signup.email,Адрес эл. почты
translation.signup.username,Имя пользователя
translation.signup.password,Пароль
translation.signup.signin,Уже есть аккаунт? Войдите
translation.signup.email-sent,Письмо отправлено. Проверьте почту для подтверждения аккаунта.
translation.title.about,О нас
translation.title.main,TimeScale Creator Online
translation.title.settings,Настройки
translation.navBar.home,Главная
translation.navBar.presets,Пресеты
translation.navBar.chart,Диаграмма
translation.navBar.datapacks,Датапаки
translation.navBar.settings,Настройки
translation.navBar.help,Помощь
translation.navBar.about,О нас
translation.navBar.workshops,Воркшопы
translation.workshops.login-first,Вы не вошли в систему. Войдите, чтобы просмотреть ваши воркшопы.
translation.workshops.header,Ваши зарегистрированные воркшопы
translation.workshops.description-header,Нажмите на воркшоп, чтобы узнать больше!
translation.workshops.titles.all,Все воркшопы
translation.workshops.titles.upcoming,Предстоящие воркшопы
translation.workshops.titles.active,Активные воркшопы
translation.workshops.titles.past,Прошедшие воркшопы
translation.workshops.messages.upcoming,В данный момент нет предстоящих воркшопов.
translation.workshops.messages.active,В данный момент нет активных воркшопов.
translation.workshops.messages.past,В данный момент нет прошедших воркшопов.
translation.workshops.dates.start,Дата начала:
translation.workshops.dates.end,Дата окончания:
translation.workshops.details-page.datapacks,Датапаки
translation.workshops.details-page.instructions,Инструкции
translation.workshops.details-page.presentation,Презентация
translation.workshops.details-page.other-files,Другие файлы
translation.workshops.details-page.view,Просмотреть
translation.workshops.details-page.download-button,Скачать все файлы
translation.workshops.details-page.description,Описание
translation.workshops.details-page.please-register,Пожалуйста, зарегистрируйтесь, чтобы получить доступ к файлам
translation.workshops.details-page.register-button,Зарегистрироваться
translation.workshops.details-page.registered-button,Зарегистрирован
translation.workshops.details-page.download-tooltip-not-registered,Свяжитесь с jogg@purdue.edu для регистрации!
translation.workshops.details-page.messages.no-datapacks,Датапаки отсутствуют
translation.workshops.details-page.messages.no-instructions,Инструкции отсутствуют
translation.workshops.details-page.messages.no-presentation,Презентация отсутствует
translation.workshops.details-page.messages.no-files,Файлы отсутствуют
translation.workshops.calendar.switchLabel,Переключить календарь
translation.workshops.calendar.month,Месяц
translation.workshops.calendar.week,Неделя
translation.workshops.calendar.days.sunday,Вс
translation.workshops.calendar.days.monday,Пн
translation.workshops.calendar.days.tuesday,Вт
translation.workshops.calendar.days.wednesday,Ср
translation.workshops.calendar.days.thursday,Чт
translation.workshops.calendar.days.friday,Пт
translation.workshops.calendar.days.saturday,Сб
translation.workshops.calendar.months.1,Январь
translation.workshops.calendar.months.2,Февраль
translation.workshops.calendar.months.3,Март
translation.workshops.calendar.months.4,Апрель
translation.workshops.calendar.months.5,Май
translation.workshops.calendar.months.6,Июнь
translation.workshops.calendar.months.7,Июль
translation.workshops.calendar.months.8,Август
translation.workshops.calendar.months.9,Сентябрь
translation.workshops.calendar.months.10,Октябрь
translation.workshops.calendar.months.11,Ноябрь
translation.workshops.calendar.months.12,Декабрь
translation.loading.loading-datapacks,Загрузка датапаков
translation.loading.time,Это может занять больше минуты
translation.loading.fetching-datapacks,Получение датапаков
translation.crossPlot.options.save,Сохранить кроссплот
translation.crossPlot.options.models,Модели
translation.crossPlot.options.markers,Маркеры
translation.crossPlot.options.show-tooltips,Показать подсказки
translation.crossPlot.options.timeline,Временная шкала Вкл/Выкл
translation.crossPlot.options.auto-plot,Автопостроение
translation.crossPlot.options.download-converted-datapack,Скачать преобразованный датапак
translation.crossPlot.options.upload-converted-datapack,Загрузить преобразованный датапак в профиль
translation.crossPlot.save-modal.save-filename,Сохранить файл как...
translation.crossPlot.save-modal.upload-title,Загрузить датапак как...
translation.crossPlot.time.select-unit,Пожалуйста, выберите единицу.
translation.crossPlot.time.no-chart-units-available,Нет доступных единиц
translation.crossPlot.time.disabled-unit-reason,Нельзя изменить единицу возраста, так как она должна быть по оси X.
translation.crossPlot.time.select-datapack,Пожалуйста, выберите датапак.
translation.crossPlot.time.no-unit-selected,Единица не выбрана
translation.crossPlot.time.xAxis,Ось X (только возраст)
translation.crossPlot.time.yAxis,Ось Y (возраст/глубина)
translation.crossPlot.sidebar.no-markers,Маркеры отсутствуют (добавьте маркер, кликнув по диаграмме в основном окне)
translation.crossPlot.sidebar.no-models,Модели отсутствуют (добавьте модель, кликнув по диаграмме в основном окне)
translation.crossPlot.out-of-date.title,Диаграмма устарела
translation.crossPlot.out-of-date.description,Когда будете готовы, нажмите кнопку ниже, чтобы применить изменения.
translation.crossPlot.out-of-date.revert,Отменить изменения
translation.crossPlot.out-of-date.apply,Применить изменения
translation.crossPlot.not-created.title,Кроссплот не создан
translation.crossPlot.not-created.description,Настройте параметры кроссплота и нажмите кнопку ниже для генерации диаграммы.
translation.crossPlot.not-created.generate,Создать кроссплот
translation.crossPlot.create-datapack,Создать кроссплот
translation.settingsTabs.Time,Время
translation.settingsTabs.Preferences,Предпочтения
translation.settingsTabs.Column,Колонка
translation.settingsTabs.Search,Поиск
translation.settingsTabs.Font,Шрифт
translation.settingsTabs.Map Points,Точки на карте
translation.settingsTabs.Datapacks,Датапаки
translation.settingsTabs.General,Общие
translation.settingsTabs.Data Mining,Анализ данных
translation.settingsTabs.Curve Drawing,Построение кривых
translation.settingsTabs.Overlay,Наложение
translation.settingsTabs.About,О программе
translation.settingsTabs.View Data,Просмотр данных
translation.settingsTabs.Discussion,Обсуждение
translation.settingsTabs.Warnings,Предупреждения
translation.settingsTabs.Load/Save,Загрузка/Сохранение
translation.settingsTabs.xAxis,Ось X (только возраст)
translation.settingsTabs.yAxis,Ось Y (возраст/глубина)
translation.settings.header,Настройки
translation.settings.time.interval.top,Верх интервала
translation.settings.time.interval.base,Основание интервала
translation.settings.time.interval.top-name,Название верхнего возраста/стадии
translation.settings.time.interval.base-name,Название нижнего возраста/стадии
translation.settings.time.interval.vertical-scale,Вертикальный масштаб (см на 1)
translation.settings.time.interval.helper-text,Возраст основания должен быть старше, чем возраст верха
translation.settings.time.interval.vertical-scale-header,Вертикальный масштаб
translation.settings.preferences.checkboxs.skip-empty-columns,Затенять (и не отображать) колонки без данных в выбранном интервале времени
translation.settings.preferences.checkboxs.mouse-over-info,Добавить всплывающие подсказки при наведении
translation.settings.preferences.checkboxs.global-priority,Включить глобальную приоритетную фильтрацию для блоковых колонок
translation.settings.preferences.checkboxs.stage-background,Включить фон стадий для колонок событий
translation.settings.preferences.checkboxs.enable-legend,Включить легенду для диаграммы
translation.settings.preferences.checkboxs.lithology-auto-indent,Не использовать автоотступ для литологических узоров
translation.settings.preferences.checkboxs.conserve-chart,Экономить место на диаграмме при построении родословных деревьев (не реализовано)
translation.settings.preferences.checkboxs.hide-block-labels,Скрывать метки блоков по приоритету
translation.settings.preferences.checkboxs.use-suggested-age-spans,Не использовать рекомендуемый возрастной диапазон датапака
translation.settings.preferences.settings-file.load,Загрузить настройки
translation.settings.preferences.settings-file.save,Сохранить настройки
translation.settings.preferences.settings-file.load-dialog.message,Это действие перезапишет все внесённые изменения!
translation.settings.preferences.settings-file.load-dialog.cancel,Отмена
translation.settings.preferences.settings-file.load-dialog.load,Загрузить
translation.settings.preferences.settings-file.save-dialog.message,Пожалуйста, введите имя файла ниже.
translation.settings.preferences.settings-file.save-dialog.cancel,Отмена
translation.settings.preferences.settings-file.save-dialog.save,Сохранить
translation.settings.column.tooltip.not-in-range,Данные не входят в выбранный временной диапазон
translation.settings.column.tooltip.auto-scale,Автомасштаб
translation.settings.column.tooltip.flip,Инвертировать диапазон
translation.settings.column.titles.column-menu-title,Настройка колонки
translation.settings.column.titles.data-mining-title,Параметры анализа данных
translation.settings.column.titles.font-option-title,Параметры шрифта для «{{name}}»
translation.settings.column.menu.shift-row,Сместить строки
translation.settings.column.menu.edit-name,Изменить заголовок
translation.settings.column.menu.background-color,Фоновый цвет
translation.settings.column.menu.enable-title,Включить заголовок
translation.settings.column.menu.show-age-label,Показать метку возраста
translation.settings.column.menu.info-box,Информация и ссылки
translation.settings.column.menu.add-blank-column,Добавить пустую колонку
translation.settings.column.menu.add-age-column,Добавить колонку возраста
translation.settings.column.menu.width,Ширина
translation.settings.column.menu.orientation.title,Ориентация подписи
translation.settings.column.menu.orientation.horizontal,Горизонтальная
translation.settings.column.menu.orientation.vertical,Вертикальная
translation.settings.column.menu.show-uncertainty,Показать метки неопределённости
translation.settings.column.menu.events,События
translation.settings.column.menu.ranges,Диапазоны
translation.settings.column.menu.first-occurrence,Первое появление (FAD)
translation.settings.column.menu.last-occurrence,Последнее появление (LAD)
translation.settings.column.menu.alphabetical,В алфавитном порядке
translation.settings.column.menu.ruler.title,Выравнивание линейки возраста
translation.settings.column.menu.ruler.left,Слева
translation.settings.column.menu.ruler.right,Справа
translation.settings.column.create-custom-column-button,Создать пользовательскую колонку
translation.settings.column.font-menu.change,Изменить шрифт
translation.settings.column.font-menu.additional,Дополнительные шрифты для дочерних колонок
translation.settings.column.datamining-menu.title,Параметры анализа данных
translation.settings.column.datamining-menu.window-size,Размер окна
translation.settings.column.datamining-menu.step-size,Шаг окна
translation.settings.column.datamining-menu.options.frequency,Частота
translation.settings.column.datamining-menu.options.max-val,Максимальное значение
translation.settings.column.datamining-menu.options.min-val,Минимальное значение
translation.settings.column.datamining-menu.options.avg-val,Среднее значение
translation.settings.column.datamining-menu.options.roc,Скорость изменения
translation.settings.column.datamining-menu.options.freq-of-LAD,Частота LAD
translation.settings.column.datamining-menu.options.freq-of-FAD,Частота FAD
translation.settings.column.datamining-menu.options.combined-events,Объединённые события
translation.settings.column.datamining-menu.options-title.event,Тип события
translation.settings.column.datamining-menu.options-title.chron,Тип хроноединицы
translation.settings.column.datamining-menu.options-title.plot,Тип данных для отображения
translation.settings.column.curve-drawing-menu.title,Параметры точек
translation.settings.column.curve-drawing-menu.rod,Диапазон данных
translation.settings.column.curve-drawing-menu.lower-range,Нижняя граница
translation.settings.column.curve-drawing-menu.upper-range,Верхняя граница
translation.settings.column.curve-drawing-menu.scale-start,Начало шкалы
translation.settings.column.curve-drawing-menu.scale-step,Шаг шкалы
translation.settings.column.curve-drawing-menu.show-scale,Показать шкалу
translation.settings.column.curve-drawing-menu.draw-points,Отображать точки
translation.settings.column.curve-drawing-menu.point-shape,Форма точки
translation.settings.column.curve-drawing-menu.line,Линия
translation.settings.column.curve-drawing-menu.fill,Заливка
translation.settings.column.curve-drawing-menu.background-gradient,Фоновый градиент
translation.settings.column.curve-drawing-menu.curve-gradient,Градиент кривой
translation.settings.column.curve-drawing-menu.start,Начало
translation.settings.column.curve-drawing-menu.end,Конец
translation.settings.column.overlay-menu.title,Параметры наложения
translation.settings.column.overlay-menu.display-overlay,Отобразить наложение
translation.settings.column.overlay-menu.overlay-column-header,Накладываемая колонка
translation.settings.column.overlay-menu.overlay-column-preposition,На
translation.settings.column.overlay-menu.overlay-accordion-caption,*Затенённые колонки недоступны для наложения (не колонка событий или точек)
translation.settings.column.overlay-menu.invalid-column-mouseover,Не является колонкой событий или точек
translation.settings.column.overlay-menu.column-not-selected,Выберите колонку из меню
translation.settings.column.add-custom-column-menu.base-column-header,Выберите базовую колонку
translation.settings.column.add-custom-column-menu.type-column-header,Выберите тип колонки
translation.settings.column.add-custom-column-menu.customize-column-header,Настройте колонку
translation.settings.column.add-custom-column-menu.data-mining-description,Вычисляет статистические показатели (минимум, максимум, среднее и скорость изменения) для выбранной колонки точек по скользящим окнам данных.
translation.settings.column.add-custom-column-menu.dual-column-comparison-description,Накладывает несколько колонок данных для визуального сравнения их трендов, структур или значений.
translation.settings.column.add-custom-column-menu.select-base-column,Пожалуйста, выберите колонку точек или событий
translation.settings.column.add-custom-column-menu.create-column,Создать колонку
translation.settings.search.search-bar,Поиск
translation.settings.search.found-result,Найдено {{count}} результатов
translation.settings.search.current-time-settings,Текущие временные настройки (основание / верх)
translation.settings.search.header.status,Колонка включена?
translation.settings.search.header.center,Центрировать
translation.settings.search.header.extend,Расширить
translation.settings.search.header.column,Колонка
translation.settings.search.header.age,Возраст
translation.settings.search.header.qualifier,Тип
translation.settings.search.header.notes,Заметки
translation.settings.font.notes1,Это системные шрифты по умолчанию.
translation.settings.font.notes2,Изменение здесь повлияет на всю диаграмму.
translation.settings.font.notes3,ПРИМЕЧАНИЕ: Эти шрифты можно менять для каждой колонки отдельно, используя кнопку «Шрифт» в меню колонки.
translation.settings.map-points.included,Включённые карты
translation.settings.map-points.not-avaliable,Нет доступных точек на карте для данного датапака
translation.settings.datapacks.see-info-guidance,Нажмите на датапак, чтобы узнать больше!
translation.settings.datapacks.add-datapack-guidance,Добавьте датапак, установив флажок
translation.settings.datapacks.title.private-official,Закрытые официальные датапаки
translation.settings.datapacks.title.public-official,Официальные датапаки
translation.settings.datapacks.title.contributed,Датапаки пользователей
translation.settings.datapacks.title.workshop,Датапаки воркшопов
translation.settings.datapacks.title.your,Ваши датапаки
translation.settings.datapacks.title.treatise,Датапаки из трактатов
translation.settings.datapacks.title.lexicon,Датапаки из лексикона
translation.settings.datapacks.no,Нет
translation.settings.datapacks.avaliable,Доступно
translation.settings.datapacks.upload,Загрузить датапак
translation.settings.datapacks.seeMore,Показать больше...
translation.settings.datapacks.seeLess,Показать меньше...
translation.settings.datapacks.upload-form.title,Загрузите свой датапак
translation.settings.datapacks.upload-form.no-file,Файл не выбран
translation.settings.datapacks.upload-form.name,Название датапака
translation.settings.datapacks.upload-form.name-placeholder,Введите название датапака.
translation.settings.datapacks.upload-form.author,Автор
translation.settings.datapacks.upload-form.author-placeholder,Укажите автора...
translation.settings.datapacks.upload-form.description,Описание датапака
translation.settings.datapacks.upload-form.description-placeholder,Введите описание датапака.
translation.settings.datapacks.upload-form.tags,Теги
translation.settings.datapacks.upload-form.make-public,Сделать датапак общедоступным
translation.settings.datapacks.upload-form.button.add-ref,Добавить ссылку
translation.settings.datapacks.upload-form.button.more,Больше опций
translation.settings.datapacks.upload-form.button.finish,Завершить и загрузить
translation.settings.datapacks.upload-form.button.startover,Начать заново
translation.settings.datapacks.upload-form.reference,Ссылка
translation.settings.datapacks.upload-form.contact,Контакт
translation.settings.datapacks.upload-form.contact-placeholder,Введите свои контактные данные
translation.settings.datapacks.upload-form.contact-helper-text,(НЕОБЯЗАТЕЛЬНО) Укажите контакты, если хотите, чтобы с вами связались по поводу датапака
translation.settings.datapacks.upload-form.notes,Заметки
translation.settings.datapacks.upload-form.notes-placeholder,Введите заметки для датапака здесь
translation.settings.datapacks.upload-form.notes-helper-text,(НЕОБЯЗАТЕЛЬНО) Обычно заметки включают рекомендации по настройкам/как использовать датапак наиболее эффективно
translation.settings.datapacks.pdf-upload,Загрузка PDF
translation.settings.datapacks.comment-flagged,Этот комментарий был помечен.
translation.chart.no-chart-yet,Вы ещё не создали диаграмму
translation.chart.save,Сохранить
translation.dialogs.confirm-datapack-change.title,Подтвердите смену выбранного датапака
translation.dialogs.confirm-datapack-change.message,У вас есть несохранённые изменения! Хотите сохранить их?
translation.dialogs.confirm-datapack-change.yes,Сохранить
translation.dialogs.confirm-datapack-change.no,Отменить
translation.dialogs.default-age.title,Использовать возрастной диапазон по умолчанию?
translation.dialogs.confirm-changes.message,Вы уверены, что хотите отменить изменения?
translation.help.qsg.title,Краткое руководство по началу
translation.help.qsg.content,Добро пожаловать в Time Scale Creator Online! В этом кратком руководстве вы быстро узнаете о функциях каждой вкладки панели навигации. Нажмите кнопку «Начать QSG», чтобы приступить.
translation.help.qsg.button,Начать QSG
translation.help.tour.title,Обзор
translation.help.tour.content.datapacks,В обзоре по датапакам вы подробно изучите страницу Datapacks. Нажмите кнопку, чтобы начать обзор!
translation.help.tour.content.settings,В обзоре по настройкам вы подробно изучите страницу Settings. Нажмите кнопку, чтобы начать обзор!
translation.help.tour.button.datapacks,Начать обзор датапаков
translation.help.tour.button.settings,Начать обзор настроек
translation.help.license,Лицензия на программное обеспечение
translation.help.file-format-info.title,Информация о формате файлов
translation.help.file-format-info.link,Просмотреть информацию о формате файлов
translation.report-bug.title,Сообщить об ошибке
translation.report-bug.subtitle,Спасибо, что помогаете улучшать наш продукт! Пожалуйста, укажите детали ниже, чтобы мы могли лучше понять проблему и исправить её как можно быстрее.
translation.report-bug.name,Имя/ID
translation.report-bug.name-placeholder,Название ошибки
translation.report-bug.email,Эл. почта
translation.report-bug.email-placeholder,Ваша эл. почта
translation.report-bug.email-helper-text,Это поле необязательно. Но если вы укажете почту, мы сможем связаться для уточнения или сообщить о решении проблемы.
translation.report-bug.helper-text,Это поле обязательно.
translation.report-bug.description,Пожалуйста, кратко опишите ошибку или проблему.
translation.report-bug.description-placeholder,Описание ошибки
translation.report-bug.attached,Прикреплено
translation.report-bug.send,Отправить
translation.report-bug.attach-files,Прикрепить файлы
translation.report-bug.thank-you,Спасибо за ваш отзыв! Мы ценим вашу помощь.
translation.report-bug.redirect,Вы будете перенаправлены на главную страницу через
translation.report-bug.not-redirect,Если перенаправление не произошло,
translation.report-bug.click-here,нажмите здесь
translation.report-bug.return-to-homepage,чтобы вернуться на главную страницу.
translation.report-bug.second,секунда
translation.report-bug.loading-header,Отправка отчёта...
translation.report-bug.loading-subheader,Пожалуйста, подождите, пока мы обрабатываем ваш отчёт.
translation.errors.REGISTER_WORKSHOP_FAILED,Не удалось зарегистрироваться на воркшоп. Попробуйте позже.
translation.errors.NO_FILES_TO_DOWNLOAD,Нет файлов для загрузки.
translation.errors.USER_DATAPACK_UPLOAD_FAILED,Не удалось загрузить пользовательский датапак. Попробуйте позже.
translation.errors.SERVER_RESPONSE_ERROR,Ошибка ответа сервера. Попробуйте позже.
translation.errors.INVALID_DATAPACK_INFO,Получена неверная информация о датапаке от сервера. Попробуйте позже.
translation.errors.INVALID_PRESET_INFO,Получена неверная информация о пресете от сервера. Попробуйте позже.
translation.errors.INVALID_PATTERN_INFO,Получена неверная информация о шаблоне от сервера. Попробуйте позже.
translation.errors.INVALID_TIME_SCALE,Получена неверная временная шкала от сервера. Попробуйте позже.
translation.errors.INVALID_DATAPACK_CONFIG,Датапаки были настроены неправильно. Попробуйте позже.
translation.errors.INVALID_SVG_READY_RESPONSE,Получен неверный ответ SVG Ready от сервера. Попробуйте позже.
translation.errors.INVALID_SETTINGS_RESPONSE,Получен неверный ответ настроек от сервера. Попробуйте позже.
translation.errors.INVALID_CHART_RESPONSE,Получен неверный ответ диаграммы от сервера. Попробуйте позже.
translation.errors.INVALID_PATH,Запрошенный путь неверный. Пожалуйста, убедитесь, что путь указан правильно.
translation.errors.INVALID_DATAPACK_UPLOAD,Некорректная загрузка датапака.
translation.errors.INVALID_DATAPACK_PHYLUM,Указан неверный таксон (phylum) в датапаке трактата.
translation.errors.REGULAR_USER_UPLOAD_DATAPACK_TOO_LARGE,Загруженный датапак превышает 3000 символов.
translation.errors.INVALID_USER_DATAPACKS,Получены неверные пользовательские датапаки с сервера. Попробуйте позже.
translation.errors.INVALID_PUBLIC_DATAPACKS,Получены неверные публичные датапаки с сервера. Попробуйте позже.
translation.errors.NO_DATAPACK_FILE_FOUND,Файл датапака не найден. Пожалуйста, загрузите файл датапака сначала.
translation.errors.DATAPACK_FILE_NAME_TOO_LONG,Имя файла датапака слишком длинное. Пожалуйста, сократите имя файла.
translation.errors.UNRECOGNIZED_DATAPACK_EXTENSION,Нераспознанное расширение датапака. Файл должен быть формата .dpk, .mdpk, .map или .txt. Пожалуйста, загрузите допустимый файл.
translation.errors.UNRECOGNIZED_DATAPACK_FILE,Нераспознанный файл датапака. Пожалуйста, загрузите допустимый файл.
translation.errors.UNFINISHED_DATAPACK_UPLOAD_FORM,Пожалуйста, заполните форму загрузки датапака перед отправкой файла.
translation.errors.DATAPACK_ALREADY_EXISTS,Такой датапак уже существует. Пожалуйста, загрузите датапак с уникальным названием.
translation.errors.NO_DATAPACKS_SELECTED,Датапаки не выбраны. Выберите хотя бы один датапак для генерации.
translation.errors.NO_COLUMNS_SELECTED,Колонки не выбраны. Выберите хотя бы одну колонку для генерации.
translation.errors.IS_BAD_RANGE,Возраст основания должен быть больше, чем возраст верха.
translation.errors.INVALID_MAPPACK_INFO,Получена неверная информация о маппаке с сервера. Попробуйте позже.
translation.errors.UNABLE_TO_LOGIN_SERVER,Не удалось войти из-за ошибки сервера. Попробуйте позже.
translation.errors.UNABLE_TO_LOGIN_GOOGLE_CREDENTIAL,Не удалось войти через учётные данные Google. Попробуйте ещё раз.
translation.errors.UNABLE_TO_LOGIN_USERNAME_OR_PASSWORD,Неверное имя пользователя или пароль. Попробуйте ещё раз.
translation.errors.UNABLE_TO_LOGIN_EXISTING_USER,Пользователь с таким email уже существует. Войдите или зарегистрируйтесь с другим email.
translation.errors.UNABLE_TO_LOGOUT,Не удалось выйти из системы. Попробуйте позже.
translation.errors.UNABLE_TO_SIGNUP_SERVER,Не удалось зарегистрироваться из-за ошибки сервера. Попробуйте позже.
translation.errors.UNABLE_TO_SIGNUP_USERNAME_OR_EMAIL,Email или имя пользователя уже заняты. Попробуйте снова с другими данными.
translation.errors.INVALID_FORM,Некорректная форма. Пожалуйста, убедитесь, что все поля заполнены правильно.
translation.errors.UNABLE_TO_VERIFY_ACCOUNT,Ваш email не подтверждён. Пожалуйста, подтвердите его. Если письмо не пришло, отправьте повторно.
translation.errors.ALREADY_VERIFIED_ACCOUNT,Аккаунт уже подтверждён. Пожалуйста, войдите.
translation.errors.UNABLE_TO_VERIFY_ACCOUNT_SERVER,Не удалось подтвердить аккаунт из-за ошибки сервера. Попробуйте позже.
translation.errors.TOKEN_EXPIRED_OR_INVALID,Ваш токен недействителен или срок его действия истёк. Запросите новое письмо для подтверждения.
translation.errors.UNABLE_TO_SEND_EMAIL,Не удалось отправить письмо. Попробуйте позже.
